iter	Passed	Remaining
406	4851	18987
407	4862	18972
408	4873	18957
409	4884	18942
410	4896	18930
411	4907	18915
412	4918	18900
413	4930	18888
414	4941	18873
415	4953	18860
416	4964	18847
417	4976	18832
418	4986	18813
419	4998	18803
420	5010	18790
421	5021	18776
422	5032	18763
423	5043	18748
424	5055	18734
425	5067	18722
426	5073	18688
427	5084	18674
428	5091	18645
429	5103	18632
430	5114	18620
431	5125	18605
432	5136	18588
433	5147	18572
434	5157	18556
435	5169	18542
436	5179	18526
437	5190	18509
438	5201	18493
439	5212	18481
440	5224	18468
441	5236	18457
442	5247	18444
443	5258	18427
444	5269	18411
445	5280	18397
446	5291	18382
447	5302	18369
448	5314	18356
449	5325	18343
450	5337	18332
451	5348	18318
452	5360	18305
453	5371	18291
454	5383	18278
455	5394	18266
456	5405	18252
457	5417	18240
458	5429	18228
459	5440	18214
460	5452	18202
461	5464	18189
462	5475	18175
463	5486	18162
464	5498	18150
465	5504	18119
466	5515	18106
467	5526	18092
468	5538	18079
469	5549	18066
470	5561	18054
471	5573	18041
472	5584	18028
473	5595	18015
474	5607	18002
475	5619	17990
476	5630	17977
477	5641	17961
478	5646	17928
479	5656	17913
480	5668	17899
481	5679	17886
482	5688	17867
483	5698	17847
484	5708	17832
485	5719	17817
486	5729	17799
487	5741	17787
488	5752	17775
489	5763	17759
490	5773	17743
491	5783	17727
492	5794	17712
493	5805	17698
494	5815	17682
495	5826	17667
496	5837	17653
497	5847	17637
498	5858	17622
499	5868	17606
500	5879	17591
501	5890	17576
502	5902	17566
503	5913	17552
504	5924	17539
505	5935	17525
506	5946	17511
507	5957	17496
508	5968	17482
509	5980	17471
510	5993	17464
511	6005	17452
512	6017	17442
513	6028	17428
514	6039	17415
515	6051	17402
516	6056	17372
517	6067	17359
518	6078	17344
519	6089	17332
520	6101	17319
521	6112	17305
522	6122	17291
523	6133	17277
524	6144	17263
525	6155	17250
526	6160	17217
527	6168	17197
528	6179	17183
529	6190	17169
530	6201	17156
531	6212	17143
532	6223	17129
533	6234	17116
534	6246	17103
535	6258	17092
536	6268	17077
537	6279	17063
538	6290	17049
539	6301	17036
540	6312	17023
541	6323	17009
542	6334	16996
543	6343	16979
544	6354	16965
545	6365	16952
546	6377	16939
547	6388	16926
548	6399	16912
549	6410	16899
550	6421	16886
551	6432	16873
552	6443	16860
